Location,Latitude,Longitude,Year,Magnitude
,7.5,90.0,2000,
,8.0,89.4,2000,
,8.5,89.0,2000,
,9.0,89.0,2000,
,9.5,89.0,2000,
,10.0,88.5,2000,
,10.7,88.2,2000,
,11.5,88.0,2000,
,12.0,88.0,2000,
,12.0,88.0,2000,
,12.0,88.0,2000,
,12.2,88.0,2000,
,12.5,88.0,2000,
,13.0,88.0,2000,
,13.5,88.0,2000,
,13.7,88.2,2000,
,14.0,88.5,2000,
,14.5,89.0,2000,
,15.0,89.5,2000,
,15.0,89.5,2000,
,15.0,89.5,2000,
,15.5,90.0,2000,
,15.5,90.0,2000,
,15.0,90.0,2000,
,16.0,90.5,2000,
,16.5,83.5,2000,
,16.5,83.0,2000,
,16.4,82.7,2000,
,16.5,82.5,2000,
,17.0,82.4,2000,
,17.5,82.0,2000,
,17.8,81.0,2000,
,18.0,79.5,2000,
,14.7,89.0,2000,5.0
,14.7,88.7,2000,5.0
,14.6,88.4,2000,
,14.5,88.2,2000,
,14.5,87.8,2000,
,14.5,87.4,2000,
,14.5,87.1,2000,
,14.4,86.7,2000,
,14.4,86.5,2000,
,14.4,86.3,2000,
,14.4,86.2,2000,
,14.3,85.9,2000,
,14.3,85.5,2000,
,14.3,85.2,2000,
,14.3,85.1,2000,
,14.1,85.0,2000,
,14.0,84.9,2000,
,14.0,84.7,2000,
,14.0,84.5,2000,
,14.0,84.4,2000,
,14.0,84.3,2000,
,14.0,84.0,2000,
,14.1,84.0,2000,
,14.1,83.9,2000,
,14.2,83.9,2000,
,14.2,83.8,2000,
,14.6,83.5,2000,
,14.4,83.4,2000,
,14.4,83.3,2000,
,14.5,83.1,2000,
,14.5,82.9,2000,
,14.6,82.6,2000,
,14.7,82.4,2000,
,14.6,82.3,2000,
,14.5,82.1,2000,
,14.5,82.0,2000,
,14.5,82.0,2000,
,13.5,93.0,2000,
,14.0,92.5,2000,
,14.3,92.2,2000,
,14.8,91.6,2000,
,15.2,91.1,2000,
,15.6,90.6,2000,
,15.9,89.7,2000,
,16.4,89.5,2000,
,16.5,89.1,2000,
,16.5,88.7,2000,
,16.7,88.5,2000,
,17.0,88.4,2000,
,17.3,88.2,2000,
,17.7,88.1,2000,
,18.2,88.2,2000,
,18.7,88.3,2000,
,18.9,88.3,2000,
,19.3,88.4,2000,
,19.8,88.4,2000,
,20.4,88.5,2000,
,21.0,88.5,2000,
,21.6,89.0,2000,
,22.5,89.1,2000,
,23.1,89.6,2000,
,23.3,89.9,2000,
,23.5,90.5,2000,
,23.8,91.7,2000,
,24.0,93.0,2000,
,24.0,93.7,2000,
,24.0,94.0,2000,
,8.5,91.5,2000,
,9.3,90.8,2000,
,9.3,90.9,2000,
,9.7,89.8,2000,
,9.8,89.9,2000,
,9.9,89.6,2000,
,10.1,88.9,2000,
,10.4,88.1,2000,
,10.8,87.5,2000,
,10.9,87.0,2000,
,10.9,86.4,2000,
,11.0,85.9,2000,
,11.0,85.3,2000,
,11.1,84.8,2000,
,11.2,84.3,2000,
,11.5,83.8,2000,
,11.6,83.3,2000,
,11.5,82.8,2000,1.0
,11.5,82.3,2000,1.0
,11.5,82.0,2000,1.0
,11.5,81.7,2000,2.0
,11.5,81.5,2000,3.0
,11.5,81.1,2000,3.0
,11.5,80.9,2000,2.0
,11.5,80.5,2000,2.0
,11.6,80.4,2000,1.0
,11.6,80.0,2000,1.0
,11.6,79.9,2000,
,11.4,79.3,2000,
,11.3,78.6,2000,
,11.3,78.3,2000,
,11.4,78.1,2000,
,11.4,77.7,2000,
,11.4,77.2,2000,
,11.5,76.9,2000,5.0
,11.5,76.5,2000,5.0
,11.5,76.1,2000,5.0
,11.5,75.7,2000,5.0
,11.5,75.4,2000,5.0
,11.5,75.1,2000,5.0
,11.5,74.7,2000,5.0
,11.6,74.4,2000,5.0
,11.6,74.1,2000,5.0
,11.7,73.9,2000,5.0
,11.7,73.6,2000,5.0
,11.8,73.2,2000,5.0
,11.9,72.8,2000,5.0
,11.9,72.2,2000,5.0
,11.9,71.3,2000,5.0
,11.8,70.4,2000,5.0
