Location,Latitude,Longitude,Year,Magnitude
Tamil Nadu,13.0827,80.2707,2006,3.7
Rajasthan,27.0238,74.2179,2013,3.8
Karnataka,15.3173,75.7139,2015,7.6
Maharashtra,19.7515,75.7139,2021,8.0
Maharashtra,19.7515,75.7139,2004,9.1
Chhattisgarh,21.2787,81.8661,2015,3.0
Madhya Pradesh,23.2599,77.4126,2023,3.5
Karnataka,15.3173,75.7139,2010,9.6
Chhattisgarh,21.2787,81.8661,2014,7.1
Punjab,31.1471,75.3412,2006,3.5
Uttarakhand,30.0668,79.0193,2023,3.2
Andhra Pradesh,15.9129,79.74,2015,9.0
Uttarakhand,30.0668,79.0193,2012,1.0
Jharkhand,23.6102,85.2799,2006,9.0
Uttar Pradesh,26.8467,80.9462,2013,8.8
Odisha,20.9517,85.0985,2018,2.5
Madhya Pradesh,23.2599,77.4126,2023,4.4
Karnataka,15.3173,75.7139,2022,6.9
Chhattisgarh,21.2787,81.8661,2024,9.2
Assam,26.2006,92.9376,2017,7.7
Maharashtra,19.7515,75.7139,2012,7.9
Odisha,20.9517,85.0985,2019,1.7
Jharkhand,23.6102,85.2799,2018,2.0
Madhya Pradesh,23.2599,77.4126,2006,5.1
Assam,26.2006,92.9376,2017,7.1
Madhya Pradesh,23.2599,77.4126,2011,5.2
Punjab,31.1471,75.3412,2006,7.5
Tamil Nadu,13.0827,80.2707,2005,1.5
Bihar,25.0961,85.3131,2015,5.1
West Bengal,22.9868,87.855,2019,9.2
Andhra Pradesh,15.9129,79.74,2024,8.8
Uttarakhand,30.0668,79.0193,2023,6.5
Jharkhand,23.6102,85.2799,2005,4.9
Uttarakhand,30.0668,79.0193,2016,5.3
Assam,26.2006,92.9376,2015,7.6
Gujarat,22.2587,71.1924,2024,3.1
Karnataka,15.3173,75.7139,2015,6.1
Gujarat,22.2587,71.1924,2004,6.3
Odisha,20.9517,85.0985,2007,6.7
Tamil Nadu,13.0827,80.2707,2023,3.5
Uttarakhand,30.0668,79.0193,2015,1.2
West Bengal,22.9868,87.855,2021,3.1
Jharkhand,23.6102,85.2799,2023,4.5
Maharashtra,19.7515,75.7139,2021,3.9
Punjab,31.1471,75.3412,2010,3.8
West Bengal,22.9868,87.855,2011,2.1
West Bengal,22.9868,87.855,2024,3.9
Tamil Nadu,13.0827,80.2707,2015,8.2
Punjab,31.1471,75.3412,2004,8.5
Tamil Nadu,13.0827,80.2707,2016,7.0
Assam,26.2006,92.9376,2009,1.5
