Location,Latitude,Longitude,Year,Magnitude
"Darjeeling, West Bengal",27.036,88.2627,2006,7.7
"Western Ghats, Maharashtra",18.5204,73.8567,2023,7.6
Meghalaya,25.467,91.3662,2008,3.7
Ladakh,34.1526,77.577,2020,2.3
Himachal Pradesh,31.1048,77.1734,2006,5.8
Arunachal Pradesh,27.1004,93.6167,2014,5.9
Ladakh,34.1526,77.577,2024,4.5
"Western Ghats, Maharashtra",18.5204,73.8567,2004,7.3
Andhra Pradesh,15.9129,79.74,2019,1.8
Uttarakhand,30.0668,79.0193,2017,9.8
Ladakh,34.1526,77.577,2008,6.1
Tamil Nadu,11.1271,78.6569,2017,1.7
Mizoram,23.1645,92.9376,2017,9.4
"Darjeeling, West Bengal",27.036,88.2627,2015,7.2
Arunachal Pradesh,27.1004,93.6167,2016,9.6
Uttarakhand,30.0668,79.0193,2020,7.9
Himachal Pradesh,31.1048,77.1734,2019,4.2
Ladakh,34.1526,77.577,2016,4.4
Uttarakhand,30.0668,79.0193,2021,7.0
Assam,26.2006,92.9376,2023,1.7
Meghalaya,25.467,91.3662,2011,1.0
Andhra Pradesh,15.9129,79.74,2007,9.4
"Western Ghats, Kerala",10.8505,76.2711,2007,5.7
Nagaland,26.1584,94.5624,2021,9.9
Uttarakhand,30.0668,79.0193,2021,4.7
Tripura,23.9408,91.9882,2013,9.5
Uttarakhand,30.0668,79.0193,2016,2.2
Sikkim,27.533,88.5122,2017,6.9
Andhra Pradesh,15.9129,79.74,2017,3.0
Mizoram,23.1645,92.9376,2009,8.3
Assam,26.2006,92.9376,2010,9.9
Meghalaya,25.467,91.3662,2005,10.0
Andhra Pradesh,15.9129,79.74,2014,4.6
"Western Ghats, Maharashtra",18.5204,73.8567,2015,3.6
"Western Ghats, Maharashtra",18.5204,73.8567,2005,1.5
Andhra Pradesh,15.9129,79.74,2023,8.0
Andhra Pradesh,15.9129,79.74,2013,5.9
Arunachal Pradesh,27.1004,93.6167,2017,8.8
Nagaland,26.1584,94.5624,2005,7.7
Andhra Pradesh,15.9129,79.74,2005,1.3
Tamil Nadu,11.1271,78.6569,2012,7.6
"Darjeeling, West Bengal",27.036,88.2627,2015,7.6
"Western Ghats, Maharashtra",18.5204,73.8567,2024,4.0
"Western Ghats, Maharashtra",18.5204,73.8567,2004,7.7
Mizoram,23.1645,92.9376,2010,8.7
"Western Ghats, Kerala",10.8505,76.2711,2018,1.3
Sikkim,27.533,88.5122,2024,7.4
Himachal Pradesh,31.1048,77.1734,2018,9.3
Uttarakhand,30.0668,79.0193,2024,7.1
"Western Ghats, Kerala",10.8505,76.2711,2010,4.8
Andhra Pradesh,15.9129,79.74,2017,1.1
Manipur,24.6637,93.9063,2005,8.8
Assam,26.2006,92.9376,2012,3.2
Arunachal Pradesh,27.1004,93.6167,2010,7.0
Mizoram,23.1645,92.9376,2004,9.9
Meghalaya,25.467,91.3662,2024,2.5
