Location,Latitude,Longitude,Year,Magnitude
"Kanyakumari, Tamil Nadu",8.0883,77.5385,2024,6.9
West Bengal Coast,21.8876,87.7789,2022,9.2
West Bengal Coast,21.8876,87.7789,2014,7.1
Odisha Coast,19.8074,85.8254,2018,6.2
"Chennai, Tamil Nadu",13.0827,80.2707,2022,8.7
Andaman and Nicobar Islands,11.7401,92.6586,2017,9.3
Andaman and Nicobar Islands,11.7401,92.6586,2005,5.4
"Vizag, Andhra Pradesh",17.6868,83.2185,2012,7.3
"Srikakulam, Andhra Pradesh",18.2967,83.8938,2022,9.4
"Vizag, Andhra Pradesh",17.6868,83.2185,2024,8.4
Puducherry,11.9139,79.8145,2005,8.5
"Chennai, Tamil Nadu",13.0827,80.2707,2011,5.6
Andaman and Nicobar Islands,11.7401,92.6586,2007,6.9
Puducherry,11.9139,79.8145,2020,5.6
Lakshadweep Islands,10.5667,72.6417,2024,6.7
Andaman and Nicobar Islands,11.7401,92.6586,2006,9.9
Kerala Coast,9.9312,76.2673,2022,9.7
Kerala Coast,9.9312,76.2673,2015,9.3
"Srikakulam, Andhra Pradesh",18.2967,83.8938,2005,8.0
"Kanyakumari, Tamil Nadu",8.0883,77.5385,2019,9.1
Andaman and Nicobar Islands,11.7401,92.6586,2004,9.4
Lakshadweep Islands,10.5667,72.6417,2016,8.9
"Cuddalore, Tamil Nadu",11.7447,79.768,2024,5.7
Odisha Coast,19.8074,85.8254,2006,5.3
Kerala Coast,9.9312,76.2673,2011,7.1
"Srikakulam, Andhra Pradesh",18.2967,83.8938,2004,8.2
Kerala Coast,9.9312,76.2673,2015,9.4
Maharashtra Coast (Mumbai),19.076,72.8777,2015,5.2
"Kanyakumari, Tamil Nadu",8.0883,77.5385,2006,5.5
Andaman and Nicobar Islands,11.7401,92.6586,2024,8.4
Andaman and Nicobar Islands,11.7401,92.6586,2005,8.6
"Vizag, Andhra Pradesh",17.6868,83.2185,2010,7.8
Maharashtra Coast (Mumbai),19.076,72.8777,2015,9.3
"Chennai, Tamil Nadu",13.0827,80.2707,2007,5.7
"Nagapattinam, Tamil Nadu",10.7654,79.8438,2020,8.7
Lakshadweep Islands,10.5667,72.6417,2011,5.9
Puducherry,11.9139,79.8145,2022,8.2
"Nagapattinam, Tamil Nadu",10.7654,79.8438,2004,6.6
West Bengal Coast,21.8876,87.7789,2006,7.8
"Nagapattinam, Tamil Nadu",10.7654,79.8438,2010,7.3
"Kanyakumari, Tamil Nadu",8.0883,77.5385,2021,7.4
